"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Ottenbach ZH","NA NA","Ottenbach (ZH)","Les habitants d'Ottenbach approuvent l'initiative pour la biodiversité avec 92,9 pour cent des voix. Ottenbach a approuvé l'initiative, contrairement à son canton.","Ottenbach ZH","NA NA"
"Rifferswil ZH","NA NA","Rifferswil (ZH)","Les habitants de Rifferswil approuvent l'initiative pour la biodiversité avec 72,8 pour cent des voix. Rifferswil a approuvé l'initiative, contrairement à son canton.","Rifferswil ZH","NA NA"
"Stallikon ZH","NA NA","Stallikon (ZH)","A Stallikon, les habitants disent non à 97,6 pour cent à l'initiative pour la biodiversité. Stallikon a rejeté l'initiative, tout comme son canton.","Stallikon ZH","NA NA"
"Wettswil am Albis ZH","NA NA","Wettswil am Albis (ZH)","Les habitants de Wettswil am Albis acceptent l'initiative pour la biodiversité avec 74,7 pour cent de oui. Wettswil am Albis a approuvé l'initiative, contrairement à son canton.","Wettswil am Albis ZH","NA NA"
"Benken ZH","NA NA","Benken (ZH)","L'initiative pour la biodiversité passe la rampe à Benken (ZH) avec 55,4 pour cent de oui. Benken (ZH) a approuvé l'initiative, contrairement à son canton.","Benken ZH","NA NA"
"Berg am Irchel ZH","NA NA","Berg am Irchel (ZH)","C'est oui à 66,4 pour cent à l'initiative pour la biodiversité à Berg am Irchel. Berg am Irchel a approuvé l'initiative, contrairement à son canton.","Berg am Irchel ZH","NA NA"
"Buch am Irchel ZH","NA NA","Buch am Irchel (ZH)","Les électeurs de Buch am Irchel valident l'initiative pour la biodiversité avec 56,6 pour cent des voix. Buch am Irchel a approuvé l'initiative, contrairement à son canton.","Buch am Irchel ZH","NA NA"
"Dachsen ZH","NA NA","Dachsen (ZH)","L'initiative pour la biodiversité échoue à Dachsen avec 52,1 pour cent des suffrages. Dachsen a rejeté l'initiative, tout comme son canton.","Dachsen ZH","NA NA"
"Dorf ZH","NA NA","Dorf (ZH)","A Dorf, les habitants sont favorables à l'initiative pour la biodiversité avec 65,5 pour cent des suffrages. Dorf a approuvé l'initiative, contrairement à son canton.","Dorf ZH","NA NA"
"Feuerthalen ZH","NA NA","Feuerthalen (ZH)","C'est non à 62 pour cent à l'initiative pour la biodiversité à Feuerthalen. Feuerthalen a rejeté l'initiative, tout comme son canton.","Feuerthalen ZH","NA NA"
"Flaach ZH","NA NA","Flaach (ZH)","Les habitants de Flaach rejettent l'initiative pour la biodiversité avec 56,8 pour cent de non. Flaach a rejeté l'initiative, tout comme son canton.","Flaach ZH","NA NA"
"Flurlingen ZH","NA NA","Flurlingen (ZH)","C'est non à 54,1 pour cent à l'initiative pour la biodiversité à Flurlingen. Flurlingen a rejeté l'initiative, tout comme son canton.","Flurlingen ZH","NA NA"
"Henggart ZH","NA NA","Henggart (ZH)","C'est non à 87,6 pour cent à l'initiative pour la biodiversité à Henggart. Henggart a rejeté l'initiative, tout comme son canton.","Henggart ZH","NA NA"
"Kleinandelfingen ZH","NA NA","Kleinandelfingen (ZH)","Les habitants de Kleinandelfingen s'opposent à l'initiative pour la biodiversité avec 75,9 pour cent de non. Kleinandelfingen a rejeté l'initiative, tout comme son canton.","Kleinandelfingen ZH","NA NA"
"Laufen-Uhwiesen ZH","NA NA","Laufen-Uhwiesen (ZH)","C'est non à 51,1 pour cent à l'initiative pour la biodiversité à Laufen-Uhwiesen. Laufen-Uhwiesen a rejeté l'initiative, tout comme son canton.","Laufen-Uhwiesen ZH","NA NA"
"Marthalen ZH","NA NA","Marthalen (ZH)","Les habitants de Marthalen approuvent l'initiative pour la biodiversité avec 76,7 pour cent des voix. Marthalen a approuvé l'initiative, contrairement à son canton.","Marthalen ZH","NA NA"
"Ossingen ZH","NA NA","Ossingen (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Ossingen avec 82 pour cent de non. Ossingen a rejeté l'initiative, tout comme son canton.","Ossingen ZH","NA NA"
"Rheinau ZH","NA NA","Rheinau (ZH)","Les habitants de Rheinau acceptent l'initiative pour la biodiversité avec 84,5 pour cent de oui. Rheinau a approuvé l'initiative, contrairement à son canton.","Rheinau ZH","NA NA"
"Thalheim an der Thur ZH","NA NA","Thalheim an der Thur (ZH)","Les habitants de Thalheim an der Thur rejettent l'initiative pour la biodiversité avec 60,2 pour cent de non. Thalheim an der Thur a rejeté l'initiative, tout comme son canton.","Thalheim an der Thur ZH","NA NA"
"Trüllikon ZH","NA NA","Trüllikon (ZH)","Les électeurs de Trüllikon valident l'initiative pour la biodiversité avec 57,5 pour cent des voix. Trüllikon a approuvé l'initiative, contrairement à son canton.","Trüllikon ZH","NA NA"
"Truttikon ZH","NA NA","Truttikon (ZH)","A Truttikon, les habitants disent oui à 54 pour cent à l'initiative pour la biodiversité. Truttikon a approuvé l'initiative, contrairement à son canton.","Truttikon ZH","NA NA"
"Volken ZH","NA NA","Volken (ZH)","A Volken, les habitants sont favorables à l'initiative pour la biodiversité avec 88,7 pour cent des suffrages. Volken a approuvé l'initiative, contrairement à son canton.","Volken ZH","NA NA"
"Bachenbülach ZH","NA NA","Bachenbülach (ZH)","L'initiative pour la biodiversité échoue à Bachenbülach avec 71,5 pour cent des suffrages. Bachenbülach a rejeté l'initiative, tout comme son canton.","Bachenbülach ZH","NA NA"
"Bassersdorf ZH","NA NA","Bassersdorf (ZH)","A Bassersdorf, les habitants disent oui à 51 pour cent à l'initiative pour la biodiversité. Bassersdorf a approuvé l'initiative, contrairement à son canton.","Bassersdorf ZH","NA NA"
"Bülach ZH","NA NA","Bülach (ZH)","L'initiative pour la biodiversité passe la rampe à Bülach avec 53,4 pour cent de oui. Bülach a approuvé l'initiative, contrairement à son canton.","Bülach ZH","NA NA"
"Dietlikon ZH","NA NA","Dietlikon (ZH)","L'initiative pour la biodiversité échoue à Dietlikon avec 78,9 pour cent des suffrages. Dietlikon a rejeté l'initiative, tout comme son canton.","Dietlikon ZH","NA NA"
"Eglisau ZH","NA NA","Eglisau (ZH)","L'initiative pour la biodiversité passe la rampe à Eglisau avec 64,6 pour cent de oui. Eglisau a approuvé l'initiative, contrairement à son canton.","Eglisau ZH","NA NA"
"Embrach ZH","NA NA","Embrach (ZH)","Les habitants d'Embrach acceptent l'initiative pour la biodiversité avec 90,2 pour cent de oui. Embrach a approuvé l'initiative, contrairement à son canton.","Embrach ZH","NA NA"
"Freienstein-Teufen ZH","NA NA","Freienstein-Teufen (ZH)","Les habitants de Freienstein-Teufen s'opposent à l'initiative pour la biodiversité avec 68 pour cent de non. Freienstein-Teufen a rejeté l'initiative, tout comme son canton.","Freienstein-Teufen ZH","NA NA"
"Glattfelden ZH","NA NA","Glattfelden (ZH)","A Glattfelden, les habitants disent oui à 56,5 pour cent à l'initiative pour la biodiversité. Glattfelden a approuvé l'initiative, contrairement à son canton.","Glattfelden ZH","NA NA"
"Hochfelden ZH","NA NA","Hochfelden (ZH)","A Hochfelden, les habitants disent oui à 54,2 pour cent à l'initiative pour la biodiversité. Hochfelden a approuvé l'initiative, contrairement à son canton.","Hochfelden ZH","NA NA"
"Höri ZH","NA NA","Höri (ZH)","A Höri, les habitants disent non à 92,5 pour cent à l'initiative pour la biodiversité. Höri a rejeté l'initiative, tout comme son canton.","Höri ZH","NA NA"
"Hüntwangen ZH","NA NA","Hüntwangen (ZH)","A Hüntwangen, les habitants sont favorables à l'initiative pour la biodiversité avec 63 pour cent des suffrages. Hüntwangen a approuvé l'initiative, contrairement à son canton.","Hüntwangen ZH","NA NA"
"Kloten ZH","NA NA","Kloten (ZH)","A Kloten, les habitants sont favorables à l'initiative pour la biodiversité avec 68,3 pour cent des suffrages. Kloten a approuvé l'initiative, contrairement à son canton.","Kloten ZH","NA NA"
"Lufingen ZH","NA NA","Lufingen (ZH)","A Lufingen, les habitants disent non à 72,6 pour cent à l'initiative pour la biodiversité. Lufingen a rejeté l'initiative, tout comme son canton.","Lufingen ZH","NA NA"
"Nürensdorf ZH","NA NA","Nürensdorf (ZH)","A Nürensdorf, les habitants sont défavorables à l'initiative pour la biodiversité avec 77,4 pour cent des voix. Nürensdorf a rejeté l'initiative, tout comme son canton.","Nürensdorf ZH","NA NA"
"Oberembrach ZH","NA NA","Oberembrach (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Oberembrach avec 50,3 pour cent de non. Oberembrach a rejeté l'initiative, tout comme son canton.","Oberembrach ZH","NA NA"
"Opfikon ZH","NA NA","Opfikon (ZH)","C'est non à 74,6 pour cent à l'initiative pour la biodiversité à Opfikon. Opfikon a rejeté l'initiative, tout comme son canton.","Opfikon ZH","NA NA"
"Rafz ZH","NA NA","Rafz (ZH)","Les électeurs de Rafz valident l'initiative pour la biodiversité avec 77,7 pour cent des voix. Rafz a approuvé l'initiative, contrairement à son canton.","Rafz ZH","NA NA"
"Rorbas ZH","NA NA","Rorbas (ZH)","A Rorbas, les habitants sont défavorables à l'initiative pour la biodiversité avec 91,5 pour cent des voix. Rorbas a rejeté l'initiative, tout comme son canton.","Rorbas ZH","NA NA"
"Wallisellen ZH","NA NA","Wallisellen (ZH)","Les habitants de Wallisellen rejettent l'initiative pour la biodiversité avec 98,8 pour cent de non. Wallisellen a rejeté l'initiative, tout comme son canton.","Wallisellen ZH","NA NA"
"Wasterkingen ZH","NA NA","Wasterkingen (ZH)","A Wasterkingen, les habitants disent oui à 60,2 pour cent à l'initiative pour la biodiversité. Wasterkingen a approuvé l'initiative, contrairement à son canton.","Wasterkingen ZH","NA NA"
"Wil ZH","NA NA","Wil (ZH)","A Wil (ZH), les habitants disent non à 58,6 pour cent à l'initiative pour la biodiversité. Wil (ZH) a rejeté l'initiative, tout comme son canton.","Wil ZH ZH","NA NA"
"Winkel ZH","NA NA","Winkel (ZH)","C'est oui à 50,7 pour cent à l'initiative pour la biodiversité à Winkel. Winkel a approuvé l'initiative, contrairement à son canton.","Winkel ZH","NA NA"
"Bachs ZH","NA NA","Bachs (ZH)","A Bachs, les habitants sont favorables à l'initiative pour la biodiversité avec 76,5 pour cent des suffrages. Bachs a approuvé l'initiative, contrairement à son canton.","Bachs ZH","NA NA"
"Boppelsen ZH","NA NA","Boppelsen (ZH)","Les habitants de Boppelsen acceptent l'initiative pour la biodiversité avec 61,5 pour cent de oui. Boppelsen a approuvé l'initiative, contrairement à son canton.","Boppelsen ZH","NA NA"
"Buchs ZH","NA NA","Buchs (ZH)","Les habitants de Buchs (ZH) rejettent l'initiative pour la biodiversité avec 90,7 pour cent de non. Buchs (ZH) a rejeté l'initiative, tout comme son canton.","Buchs ZH","NA NA"
"Dällikon ZH","NA NA","Dällikon (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Dällikon avec 72 pour cent de non. Dällikon a rejeté l'initiative, tout comme son canton.","Dällikon ZH","NA NA"
"Dänikon ZH","NA NA","Dänikon (ZH)","Les habitants de Dänikon rejettent l'initiative pour la biodiversité avec 65,2 pour cent de non. Dänikon a rejeté l'initiative, tout comme son canton.","Dänikon ZH","NA NA"
"Dielsdorf ZH","NA NA","Dielsdorf (ZH)","A Dielsdorf, les habitants disent oui à 67,6 pour cent à l'initiative pour la biodiversité. Dielsdorf a approuvé l'initiative, contrairement à son canton.","Dielsdorf ZH","NA NA"
"Hüttikon ZH","NA NA","Hüttikon (ZH)","L'initiative pour la biodiversité passe la rampe à Hüttikon avec 77,1 pour cent de oui. Hüttikon a approuvé l'initiative, contrairement à son canton.","Hüttikon ZH","NA NA"
"Neerach ZH","NA NA","Neerach (ZH)","L'initiative pour la biodiversité échoue à Neerach avec 69,4 pour cent des suffrages. Neerach a rejeté l'initiative, tout comme son canton.","Neerach ZH","NA NA"
"Niederglatt ZH","NA NA","Niederglatt (ZH)","C'est oui à 74,7 pour cent à l'initiative pour la biodiversité à Niederglatt. Niederglatt a approuvé l'initiative, contrairement à son canton.","Niederglatt ZH","NA NA"
"Niederhasli ZH","NA NA","Niederhasli (ZH)","A Niederhasli, les habitants sont favorables à l'initiative pour la biodiversité avec 52,3 pour cent des suffrages. Niederhasli a approuvé l'initiative, contrairement à son canton.","Niederhasli ZH","NA NA"
"Niederweningen ZH","NA NA","Niederweningen (ZH)","C'est non à 95,4 pour cent à l'initiative pour la biodiversité à Niederweningen. Niederweningen a rejeté l'initiative, tout comme son canton.","Niederweningen ZH","NA NA"
"Oberglatt ZH","NA NA","Oberglatt (ZH)","Les habitants d'Oberglatt approuvent l'initiative pour la biodiversité avec 59,1 pour cent des voix. Oberglatt a approuvé l'initiative, contrairement à son canton.","Oberglatt ZH","NA NA"
"Oberweningen ZH","NA NA","Oberweningen (ZH)","Les habitants d'Oberweningen rejettent l'initiative pour la biodiversité avec 59,7 pour cent de non. Oberweningen a rejeté l'initiative, tout comme son canton.","Oberweningen ZH","NA NA"
"Otelfingen ZH","NA NA","Otelfingen (ZH)","Les habitants d'Otelfingen approuvent l'initiative pour la biodiversité avec 59,6 pour cent des voix. Otelfingen a approuvé l'initiative, contrairement à son canton.","Otelfingen ZH","NA NA"
"Regensberg ZH","NA NA","Regensberg (ZH)","L'initiative pour la biodiversité échoue à Regensberg avec 73,6 pour cent des suffrages. Regensberg a rejeté l'initiative, tout comme son canton.","Regensberg ZH","NA NA"
"Regensdorf ZH","NA NA","Regensdorf (ZH)","Les électeurs de Regensdorf valident l'initiative pour la biodiversité avec 74,4 pour cent des voix. Regensdorf a approuvé l'initiative, contrairement à son canton.","Regensdorf ZH","NA NA"
"Rümlang ZH","NA NA","Rümlang (ZH)","Les habitants de Rümlang acceptent l'initiative pour la biodiversité avec 73,1 pour cent de oui. Rümlang a approuvé l'initiative, contrairement à son canton.","Rümlang ZH","NA NA"
"Schleinikon ZH","NA NA","Schleinikon (ZH)","L'initiative pour la biodiversité passe la rampe à Schleinikon avec 83 pour cent de oui. Schleinikon a approuvé l'initiative, contrairement à son canton.","Schleinikon ZH","NA NA"
"Schöfflisdorf ZH","NA NA","Schöfflisdorf (ZH)","Les habitants de Schöfflisdorf acceptent l'initiative pour la biodiversité avec 69,5 pour cent de oui. Schöfflisdorf a approuvé l'initiative, contrairement à son canton.","Schöfflisdorf ZH","NA NA"
"Stadel ZH","NA NA","Stadel (ZH)","Les habitants de Stadel approuvent l'initiative pour la biodiversité avec 63 pour cent des voix. Stadel a approuvé l'initiative, contrairement à son canton.","Stadel ZH","NA NA"
"Steinmaur ZH","NA NA","Steinmaur (ZH)","Les habitants de Steinmaur rejettent l'initiative pour la biodiversité avec 54,4 pour cent de non. Steinmaur a rejeté l'initiative, tout comme son canton.","Steinmaur ZH","NA NA"
"Weiach ZH","NA NA","Weiach (ZH)","Les électeurs de Weiach valident l'initiative pour la biodiversité avec 97,3 pour cent des voix. Weiach a approuvé l'initiative, contrairement à son canton.","Weiach ZH","NA NA"
"Bäretswil ZH","NA NA","Bäretswil (ZH)","L'initiative pour la biodiversité passe la rampe à Bäretswil avec 57,8 pour cent de oui. Bäretswil a approuvé l'initiative, contrairement à son canton.","Bäretswil ZH","NA NA"
"Bubikon ZH","NA NA","Bubikon (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Bubikon avec 70,8 pour cent de non. Bubikon a rejeté l'initiative, tout comme son canton.","Bubikon ZH","NA NA"
"Dürnten ZH","NA NA","Dürnten (ZH)","C'est oui à 73,5 pour cent à l'initiative pour la biodiversité à Dürnten. Dürnten a approuvé l'initiative, contrairement à son canton.","Dürnten ZH","NA NA"
"Fischenthal ZH","NA NA","Fischenthal (ZH)","Les habitants de Fischenthal s'opposent à l'initiative pour la biodiversité avec 50,3 pour cent de non. Fischenthal a rejeté l'initiative, tout comme son canton.","Fischenthal ZH","NA NA"
"Gossau ZH","NA NA","Gossau (ZH)","Les électeurs de Gossau (ZH) valident l'initiative pour la biodiversité avec 84,8 pour cent des voix. Gossau (ZH) a approuvé l'initiative, contrairement à son canton.","Gossau ZH","NA NA"
"Grüningen ZH","NA NA","Grüningen (ZH)","Les électeurs de Grüningen valident l'initiative pour la biodiversité avec 56,8 pour cent des voix. Grüningen a approuvé l'initiative, contrairement à son canton.","Grüningen ZH","NA NA"
"Hinwil ZH","NA NA","Hinwil (ZH)","A Hinwil, les habitants disent non à 51,7 pour cent à l'initiative pour la biodiversité. Hinwil a rejeté l'initiative, tout comme son canton.","Hinwil ZH","NA NA"
"Rüti ZH","NA NA","Rüti (ZH)","A Rüti (ZH), les habitants sont défavorables à l'initiative pour la biodiversité avec 65,8 pour cent des voix. Rüti (ZH) a rejeté l'initiative, tout comme son canton.","Rüti ZH","NA NA"
"Seegräben ZH","NA NA","Seegräben (ZH)","L'initiative pour la biodiversité échoue à Seegräben avec 53 pour cent des suffrages. Seegräben a rejeté l'initiative, tout comme son canton.","Seegräben ZH","NA NA"
"Wald ZH","NA NA","Wald (ZH)","C'est non à 59,5 pour cent à l'initiative pour la biodiversité à Wald (ZH). Wald (ZH) a rejeté l'initiative, tout comme son canton.","Wald ZH","NA NA"
"Wetzikon ZH","NA NA","Wetzikon (ZH)","A Wetzikon (ZH), les habitants sont favorables à l'initiative pour la biodiversité avec 60 pour cent des suffrages. Wetzikon (ZH) a approuvé l'initiative, contrairement à son canton.","Wetzikon ZH","NA NA"
"Adliswil ZH","NA NA","Adliswil (ZH)","Les habitants d'Adliswil s'opposent à l'initiative pour la biodiversité avec 51,1 pour cent de non. Adliswil a rejeté l'initiative, tout comme son canton.","Adliswil ZH","NA NA"
"Kilchberg ZH","NA NA","Kilchberg (ZH)","Les habitants de Kilchberg (ZH) acceptent l'initiative pour la biodiversité avec 55,9 pour cent de oui. Kilchberg (ZH) a approuvé l'initiative, contrairement à son canton.","Kilchberg ZH","NA NA"
"Langnau am Albis ZH","NA NA","Langnau am Albis (ZH)","A Langnau am Albis, les habitants sont favorables à l'initiative pour la biodiversité avec 55,9 pour cent des suffrages. Langnau am Albis a approuvé l'initiative, contrairement à son canton.","Langnau am Albis ZH","NA NA"
"Oberrieden ZH","NA NA","Oberrieden (ZH)","A Oberrieden, les habitants disent oui à 85,5 pour cent à l'initiative pour la biodiversité. Oberrieden a approuvé l'initiative, contrairement à son canton.","Oberrieden ZH","NA NA"
"Richterswil ZH","NA NA","Richterswil (ZH)","Les habitants de Richterswil s'opposent à l'initiative pour la biodiversité avec 51,2 pour cent de non. Richterswil a rejeté l'initiative, tout comme son canton.","Richterswil ZH","NA NA"
"Rüschlikon ZH","NA NA","Rüschlikon (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Rüschlikon avec 72,8 pour cent de non. Rüschlikon a rejeté l'initiative, tout comme son canton.","Rüschlikon ZH","NA NA"
"Thalwil ZH","NA NA","Thalwil (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Thalwil avec 71,8 pour cent de non. Thalwil a rejeté l'initiative, tout comme son canton.","Thalwil ZH","NA NA"
"Erlenbach ZH","NA NA","Erlenbach (ZH)","L'initiative pour la biodiversité passe la rampe à Erlenbach (ZH) avec 86,7 pour cent de oui. Erlenbach (ZH) a approuvé l'initiative, contrairement à son canton.","Erlenbach ZH","NA NA"
"Herrliberg ZH","NA NA","Herrliberg (ZH)","Les habitants de Herrliberg acceptent l'initiative pour la biodiversité avec 79,6 pour cent de oui. Herrliberg a approuvé l'initiative, contrairement à son canton.","Herrliberg ZH","NA NA"
"Hombrechtikon ZH","NA NA","Hombrechtikon (ZH)","A Hombrechtikon, les habitants disent non à 51,6 pour cent à l'initiative pour la biodiversité. Hombrechtikon a rejeté l'initiative, tout comme son canton.","Hombrechtikon ZH","NA NA"
"Küsnacht ZH","NA NA","Küsnacht (ZH)","A Küsnacht (ZH), les habitants sont favorables à l'initiative pour la biodiversité avec 97,1 pour cent des suffrages. Küsnacht (ZH) a approuvé l'initiative, contrairement à son canton.","Küsnacht ZH","NA NA"
"Männedorf ZH","NA NA","Männedorf (ZH)","L'initiative pour la biodiversité passe la rampe à Männedorf avec 55,2 pour cent de oui. Männedorf a approuvé l'initiative, contrairement à son canton.","Männedorf ZH","NA NA"
"Meilen ZH","NA NA","Meilen (ZH)","L'initiative pour la biodiversité échoue à Meilen avec 71,4 pour cent des suffrages. Meilen a rejeté l'initiative, tout comme son canton.","Meilen ZH","NA NA"
"Oetwil am See ZH","NA NA","Oetwil am See (ZH)","C'est oui à 80 pour cent à l'initiative pour la biodiversité à Oetwil am See. Oetwil am See a approuvé l'initiative, contrairement à son canton.","Oetwil am See ZH","NA NA"
"Stäfa ZH","NA NA","Stäfa (ZH)","C'est oui à 57,2 pour cent à l'initiative pour la biodiversité à Stäfa. Stäfa a approuvé l'initiative, contrairement à son canton.","Stäfa ZH","NA NA"
"Uetikon am See ZH","NA NA","Uetikon am See (ZH)","L'initiative pour la biodiversité échoue à Uetikon am See avec 62,8 pour cent des suffrages. Uetikon am See a rejeté l'initiative, tout comme son canton.","Uetikon am See ZH","NA NA"
"Zumikon ZH","NA NA","Zumikon (ZH)","L'initiative pour la biodiversité passe la rampe à Zumikon avec 76,4 pour cent de oui. Zumikon a approuvé l'initiative, contrairement à son canton.","Zumikon ZH","NA NA"
"Zollikon ZH","NA NA","Zollikon (ZH)","C'est non à 52,8 pour cent à l'initiative pour la biodiversité à Zollikon. Zollikon a rejeté l'initiative, tout comme son canton.","Zollikon ZH","NA NA"
"Fehraltorf ZH","NA NA","Fehraltorf (ZH)","C'est non à 57,1 pour cent à l'initiative pour la biodiversité à Fehraltorf. Fehraltorf a rejeté l'initiative, tout comme son canton.","Fehraltorf ZH","NA NA"
"Hittnau ZH","NA NA","Hittnau (ZH)","A Hittnau, les habitants disent oui à 87,1 pour cent à l'initiative pour la biodiversité. Hittnau a approuvé l'initiative, contrairement à son canton.","Hittnau ZH","NA NA"
"Lindau ZH","NA NA","Lindau (ZH)","Les habitants de Lindau s'opposent à l'initiative pour la biodiversité avec 56,5 pour cent de non. Lindau a rejeté l'initiative, tout comme son canton.","Lindau ZH","NA NA"
"Pfäffikon ZH","NA NA","Pfäffikon (ZH)","C'est non à 88,1 pour cent à l'initiative pour la biodiversité à Pfäffikon. Pfäffikon a rejeté l'initiative, tout comme son canton.","Pfäffikon ZH","NA NA"
"Russikon ZH","NA NA","Russikon (ZH)","Les habitants de Russikon approuvent l'initiative pour la biodiversité avec 63,1 pour cent des voix. Russikon a approuvé l'initiative, contrairement à son canton.","Russikon ZH","NA NA"
"Weisslingen ZH","NA NA","Weisslingen (ZH)","C'est oui à 50,7 pour cent à l'initiative pour la biodiversité à Weisslingen. Weisslingen a approuvé l'initiative, contrairement à son canton.","Weisslingen ZH","NA NA"
"Wila ZH","NA NA","Wila (ZH)","C'est non à 52,6 pour cent à l'initiative pour la biodiversité à Wila. Wila a rejeté l'initiative, tout comme son canton.","Wila ZH","NA NA"
"Wildberg ZH","NA NA","Wildberg (ZH)","Les habitants de Wildberg s'opposent à l'initiative pour la biodiversité avec 53,6 pour cent de non. Wildberg a rejeté l'initiative, tout comme son canton.","Wildberg ZH","NA NA"
"Dübendorf ZH","NA NA","Dübendorf (ZH)","Les habitants de Dübendorf s'opposent à l'initiative pour la biodiversité avec 51,4 pour cent de non. Dübendorf a rejeté l'initiative, tout comme son canton.","Dübendorf ZH","NA NA"
"Egg ZH","NA NA","Egg (ZH)","A Egg, les habitants disent non à 95,8 pour cent à l'initiative pour la biodiversité. Egg a rejeté l'initiative, tout comme son canton.","Egg ZH","NA NA"
"Fällanden ZH","NA NA","Fällanden (ZH)","A Fällanden, les habitants sont favorables à l'initiative pour la biodiversité avec 66,7 pour cent des suffrages. Fällanden a approuvé l'initiative, contrairement à son canton.","Fällanden ZH","NA NA"
"Greifensee ZH","NA NA","Greifensee (ZH)","A Greifensee, les habitants disent oui à 68,3 pour cent à l'initiative pour la biodiversité. Greifensee a approuvé l'initiative, contrairement à son canton.","Greifensee ZH","NA NA"
"Maur ZH","NA NA","Maur (ZH)","Les habitants de Maur s'opposent à l'initiative pour la biodiversité avec 72,5 pour cent de non. Maur a rejeté l'initiative, tout comme son canton.","Maur ZH","NA NA"
"Mönchaltorf ZH","NA NA","Mönchaltorf (ZH)","Les habitants de Mönchaltorf s'opposent à l'initiative pour la biodiversité avec 90,8 pour cent de non. Mönchaltorf a rejeté l'initiative, tout comme son canton.","Mönchaltorf ZH","NA NA"
"Schwerzenbach ZH","NA NA","Schwerzenbach (ZH)","A Schwerzenbach, les habitants disent non à 63,8 pour cent à l'initiative pour la biodiversité. Schwerzenbach a rejeté l'initiative, tout comme son canton.","Schwerzenbach ZH","NA NA"
"Uster ZH","NA NA","Uster (ZH)","Les habitants d'Uster approuvent l'initiative pour la biodiversité avec 59,2 pour cent des voix. Uster a approuvé l'initiative, contrairement à son canton.","Uster ZH","NA NA"
"Volketswil ZH","NA NA","Volketswil (ZH)","A Volketswil, les habitants disent oui à 83,4 pour cent à l'initiative pour la biodiversité. Volketswil a approuvé l'initiative, contrairement à son canton.","Volketswil ZH","NA NA"
"Wangen-Brüttisellen ZH","NA NA","Wangen-Brüttisellen (ZH)","L'initiative pour la biodiversité ne passe pas la rampe à Wangen-Brüttisellen avec 68,8 pour cent de non. Wangen-Brüttisellen a rejeté l'initiative, tout comme son canton.","Wangen-Brüttisellen ZH","NA NA"
"Altikon ZH","NA NA","Altikon (ZH)","A Altikon, les habitants sont favorables à l'initiative pour la biodiversité avec 71,3 pour cent des suffrages. Altikon a approuvé l'initiative, contrairement à son canton.","Altikon ZH","NA NA"
