"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Ottenbach ZH","59,1 der Stimmbürgerinnen und Stimmbürger von Ottenbach haben die Pensionskassenreform abgelehnt. Damit hat die Ablehung in Ottenbach im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 70,9 Prozent.","Ottenbach (ZH)","Les habitants d'Ottenbach s'opposent à la réforme de la LPP par 59,1 pour cent des voix. Le rejet de la loi est toutefois moins fort que celui de la précédente réforme en 2010. Les habitants d'Ottenbach avaient alors dit non à 70,9 pour cent à une adaptation du taux de conversion.","Ottenbach (ZH)","Gli abitanti di Ottenbach hanno respinto la riforma LPP con il 59,1 per cento di ""no"". Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 70,9 per cento degli abitanti di Ottenbach aveva respinto un adeguamento dell'aliquota minima di conversione."
"Rifferswil ZH","Mit 2'778 Ja zu 1'582 Nein hat sich Rifferswil für die Pensionskassenreform ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 63,7 Prozent. Damit hat in Rifferswil seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 64,9 Prozent ein Nein in die Urne gelegt.","Rifferswil (ZH)","Rifferswil dit oui à 63,7 pour cent à de la réforme de la LPP. Avec ce résultat, Rifferswil bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 64,9 pour cent des voix.","Rifferswil (ZH)","Gli abitanti di Rifferswil hanno accolto la riforma LPP con il 63,7 per cento di ""sì"". Con questo risultato, Rifferswil si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 64,9 per cento dei voti contrari.
"
"Stallikon ZH","51,3 Prozent der Stimmbürgerinnen und Stimmbürger von Stallikon haben sich für die Pensionskassenreform ausgesprochen. Damit hat in Stallikon seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 66,4 Prozent ein Nein in die Urne gelegt.","Stallikon (ZH)","A Stallikon, les habitants disent oui à  51,3 pour cent à la réforme de la LPP. Avec ce résultat, Stallikon bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 66,4 pour cent des voix.","Stallikon (ZH)","Nel comune di Stallikon, i cittadini hanno accolto la riforma LPP con il 51,3 per cento di voti favorevoli. Con questo risultato, Stallikon si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 66,4 per cento dei voti contrari.
"
"Wettswil am Albis ZH","Mit 58,6 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Wettswil am Albis für die Pensionskassenreform gestimmt. Damit hat in Wettswil am Albis seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 61,6 Prozent ein Nein in die Urne gelegt.","Wettswil am Albis (ZH)","La population de Wettswil am Albis approuve à 58,6 pour cent la réforme de la LPP. Avec ce résultat, Wettswil am Albis bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 61,6 pour cent des voix.","Wettswil am Albis (ZH)","I cittadini di Wettswil am Albis hanno accolto la riforma LPP con il 58,6 per cento di voti a favore. Con questo risultato, Wettswil am Albis si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 61,6 per cento dei voti contrari.
"
"Benken ZH","Benken ZH hat die Pensionskassenreform mit 64,1 Prozent Nein-Stimmen verworfen. Damit hat die Ablehung in Benken ZH im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 67,1 Prozent.","Benken (ZH)","La réforme de la LPP n'a pas trouvé grâce aux yeux des citoyens de Benken (ZH). Ils ont refusé le texte à 64,1 pour cent. Le rejet de la loi est toutefois moins fort que celui de la précédente réforme en 2010. Les habitants de Benken (ZH) avaient alors dit non à 67,1 pour cent à une adaptation du taux de conversion.","Benken (ZH)","la riforma LPP è stata respinta a Benken ZH, dove ha riscosso il 64,1 per cento di ""no"". Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 67,1 per cento degli abitanti di Benken ZH aveva respinto un adeguamento dell'aliquota minima di conversione."
"Berg am Irchel ZH","In Berg am Irchel ist die Pensionskassenreform mit 74,5 Prozent gescheitert. Damit ist in Berg am Irchel die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 54,1 Prozent.","Berg am Irchel (ZH)","La réforme de la LPP n'a pas convaincu à Berg am Irchel. Les citoyens de la commune ont refusé le texte à 74,5 pour cent. Le refus de la réforme de la LPP est plus fort que celui d'une précédente réforme en 2010. La proportion de ""non"" à Berg am Irchel à une adaptation du taux de conversion était alors de 54,1 pour cent.","Berg am Irchel (ZH)","Il 74,5 per cento degli elettori di Berg am Irchel ha respinto la riforma LPP. Il rifiuto della riforma LPP a Berg am Irchel si è mostrato più forte rispetto a quanto verificatosi nella votazione del 2010, quando a votare ""no"" a un adeguamento del asso di conversione era stato il 54,1 per cento dei cittadini."
"Buch am Irchel ZH","Ja zur Pensionskassenreform in Buch am Irchel. Die Gemeinde hat Vorlage mit 54,7 Prozent der Stimmen angenommen. Damit hat in Buch am Irchel seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 61,8 Prozent ein Nein in die Urne gelegt.","Buch am Irchel (ZH)","Les habitants de Buch am Irchel soutiennent à 54,7 pour cent la réforme de la LPP. Avec ce résultat, Buch am Irchel bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 61,8 pour cent des voix.","Buch am Irchel (ZH)","Gli elettori di Buch am Irchel si sono mostrati favorevoli alla riforma LPP, che ha ricevuto il 54,7 per cento di ""sì"". Con questo risultato, Buch am Irchel si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 61,8 per cento dei voti contrari.
"
"Dachsen ZH","In Dachsen hat die Pensionskassenreform keine Mehrheit gefunden: 84 Prozent haben die Vorlage abgelehnt. Damit ist in Dachsen die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 71,4 Prozent.","Dachsen (ZH)","C'est non à la réforme de la LPP à Dachsen. Les habitants ont refusé le texte à 84 pour cent. Le refus de la réforme de la LPP est plus fort que celui d'une précédente réforme en 2010. La proportion de ""non"" à Dachsen à une adaptation du taux de conversion était alors de 71,4 pour cent.","Dachsen (ZH)","Gli elettori di Dachsen si sono mostrati scettici nei confronti della riforma LPP, che è stata respinta con il 84 per cento di voti contrari. Il rifiuto della riforma LPP a Dachsen si è mostrato più forte rispetto a quanto verificatosi nella votazione del 2010, quando a votare ""no"" a un adeguamento del asso di conversione era stato il 71,4 per cento dei cittadini."
"Dorf ZH","Mit 9'725 Nein zu 6'206 Ja haben die Stimmbürgerinnen und Stimmbürger von Dorf die Pensionskassenreform abgelehnt. Das sind 61 Prozent. Damit ist in Dorf die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ungefähr gleich geblieten.","Dorf (ZH)","La population de Dorf rejette à 61 pour cent des voix la réforme de la LPP. Le résultat a peu changé par rapport à la précédente réforme de la LPP en 2010. Dorf avait alors dit non à 60,9 pour cent à une adaptation du taux de conversion.","Dorf (ZH)","A Dorf gli abitanti si sono opposti alla riforma LPP con il 61 per cento di voti a sfavore. Il risultato conseguito nel comune di Dorf è cambiato di poco rispetto alla precedente votazione sulla riforma LPP del 2010, quando il 60,9 per cento degli elettori aveva respinto l'idea di un adeguamento dell'aliquota minima di conversione.
"
"Feuerthalen ZH","56 Prozent der Stimmbürgerinnen und Stimmbürger in Feuerthalen haben Ja gesagt zur Pensionskassenreform. Damit hat in Feuerthalen seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 77,4 Prozent ein Nein in die Urne gelegt.","Feuerthalen (ZH)","Les habitants de Feuerthalen acceptent avec 56 pour cent de oui la réforme de la LPP. Avec ce résultat, Feuerthalen bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 77,4 pour cent des voix.","Feuerthalen (ZH)","Il 56 per cento degli elettori di Feuerthalen ha accolto la riforma LPP. Con questo risultato, Feuerthalen si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 77,4 per cento dei voti contrari.
"
"Flaach ZH","Mit 70,9 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Flaach für die Pensionskassenreform gestimmt. Damit hat in Flaach seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 57,7 Prozent ein Nein in die Urne gelegt.","Flaach (ZH)","La population de Flaach approuve à 70,9 pour cent la réforme de la LPP. Avec ce résultat, Flaach bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 57,7 pour cent des voix.","Flaach (ZH)","I cittadini di Flaach hanno accolto la riforma LPP con il 70,9 per cento di voti a favore. Con questo risultato, Flaach si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 57,7 per cento dei voti contrari.
"
"Flurlingen ZH","In Flurlingen ist die Pensionskassenreform mit 54,2 Prozent gescheitert. Damit hat die Ablehung in Flurlingen im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 weiter abgenommen. Damals betrug der Nein-Stimmen-Anteil noch 71,4 Prozent.","Flurlingen (ZH)","La réforme de la LPP n'a pas convaincu à Flurlingen. Les citoyens de la commune ont refusé le texte à 54,2 pour cent. Le rejet de la loi est toutefois moins fort que celui de la précédente réforme en 2010. Les habitants de Flurlingen avaient alors dit non à 71,4 pour cent à une adaptation du taux de conversion.","Flurlingen (ZH)","Il 54,2 per cento degli elettori di Flurlingen ha respinto la riforma LPP. Il rifiuto della riforma LPP è meno forte rispetto a quanto avvenuto durante la votazione del 2010, momento in cui il 71,4 per cento degli abitanti di Flurlingen aveva respinto un adeguamento dell'aliquota minima di conversione."
"Henggart ZH","In Henggart ist die Pensionskassenreform mit 75,2 Prozent gescheitert. Damit ist in Henggart die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 68,5 Prozent.","Henggart (ZH)","La réforme de la LPP n'a pas convaincu à Henggart. Les citoyens de la commune ont refusé le texte à 75,2 pour cent. Le refus de la réforme de la LPP est plus fort que celui d'une précédente réforme en 2010. La proportion de ""non"" à Henggart à une adaptation du taux de conversion était alors de 68,5 pour cent.","Henggart (ZH)","Il 75,2 per cento degli elettori di Henggart ha respinto la riforma LPP. Il rifiuto della riforma LPP a Henggart si è mostrato più forte rispetto a quanto verificatosi nella votazione del 2010, quando a votare ""no"" a un adeguamento del asso di conversione era stato il 68,5 per cento dei cittadini."
"Kleinandelfingen ZH","87,3 der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen haben die Pensionskassenreform abgelehnt. Damit ist in Kleinandelfingen die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 69,1 Prozent.","Kleinandelfingen (ZH)","Les habitants de Kleinandelfingen s'opposent à la réforme de la LPP par 87,3 pour cent des voix. Le refus de la réforme de la LPP est plus fort que celui d'une précédente réforme en 2010. La proportion de ""non"" à Kleinandelfingen à une adaptation du taux de conversion était alors de 69,1 pour cent.","Kleinandelfingen (ZH)","Gli abitanti di Kleinandelfingen hanno respinto la riforma LPP con il 87,3 per cento di ""no"". Il rifiuto della riforma LPP a Kleinandelfingen si è mostrato più forte rispetto a quanto verificatosi nella votazione del 2010, quando a votare ""no"" a un adeguamento del asso di conversione era stato il 69,1 per cento dei cittadini."
"Laufen-Uhwiesen ZH","87,2 Prozent der Stimmbürgerinnen und Stimmbürger in Laufen-Uhwiesen haben Ja gesagt zur Pensionskassenreform. Damit hat in Laufen-Uhwiesen seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 68,1 Prozent ein Nein in die Urne gelegt.","Laufen-Uhwiesen (ZH)","Les habitants de Laufen-Uhwiesen acceptent avec 87,2 pour cent de oui la réforme de la LPP. Avec ce résultat, Laufen-Uhwiesen bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 68,1 pour cent des voix.","Laufen-Uhwiesen (ZH)","Il 87,2 per cento degli elettori di Laufen-Uhwiesen ha accolto la riforma LPP. Con questo risultato, Laufen-Uhwiesen si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 68,1 per cento dei voti contrari.
"
"Marthalen ZH","Mit 2'802 Ja zu 1'854 Nein hat sich Marthalen für die Pensionskassenreform ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 60,2 Prozent. Damit hat in Marthalen seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 65,1 Prozent ein Nein in die Urne gelegt.","Marthalen (ZH)","Marthalen dit oui à 60,2 pour cent à de la réforme de la LPP. Avec ce résultat, Marthalen bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 65,1 pour cent des voix.","Marthalen (ZH)","Gli abitanti di Marthalen hanno accolto la riforma LPP con il 60,2 per cento di ""sì"". Con questo risultato, Marthalen si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 65,1 per cento dei voti contrari.
"
"Ossingen ZH","Ossingen hat die Pensionskassenreform angenommen. Die Gemeinde stimmte der Vorlage mit Ja-Stimmen-Anteil von 50,8 Prozent zu. Damit hat in Ossingen seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 63,3 Prozent ein Nein in die Urne gelegt.","Ossingen (ZH)","La réforme de la LPP passe la rampe avec 50,8 pour cent de oui à Ossingen. Avec ce résultat, Ossingen bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 63,3 pour cent des voix.","Ossingen (ZH)","la riforma LPP è stata accolta a Ossingen, dove ha riscosso il 50,8 per cento di voti a favore. Con questo risultato, Ossingen si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 63,3 per cento dei voti contrari.
"
"Rheinau ZH","Mit 77,7 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Rheinau für die Pensionskassenreform gestimmt. Damit hat in Rheinau seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 69,5 Prozent ein Nein in die Urne gelegt.","Rheinau (ZH)","La population de Rheinau approuve à 77,7 pour cent la réforme de la LPP. Avec ce résultat, Rheinau bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 69,5 pour cent des voix.","Rheinau (ZH)","I cittadini di Rheinau hanno accolto la riforma LPP con il 77,7 per cento di voti a favore. Con questo risultato, Rheinau si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 69,5 per cento dei voti contrari.
"
"Thalheim an der Thur ZH","Thalheim an der Thur ist gegen die Pensionskassenreform: Die Gemeinde hat die Vorlage mit 90,2 Prozent Nein verworfen. Damit ist in Thalheim an der Thur die Ablehnung im Vergleich zur letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 gestiegen. Damals betrug der Nein-Stimmen-Anteil 62,6 Prozent.","Thalheim an der Thur (ZH)","La réforme de la LPP est refusée à 90,2 pour cent à Thalheim an der Thur. Le refus de la réforme de la LPP est plus fort que celui d'une précédente réforme en 2010. La proportion de ""non"" à Thalheim an der Thur à une adaptation du taux de conversion était alors de 62,6 pour cent.","Thalheim an der Thur (ZH)","I cittadini di Thalheim an der Thur hanno respinto la riforma LPP con il 90,2 per cento di voti contrari. Il rifiuto della riforma LPP a Thalheim an der Thur si è mostrato più forte rispetto a quanto verificatosi nella votazione del 2010, quando a votare ""no"" a un adeguamento del asso di conversione era stato il 62,6 per cento dei cittadini."
"Trüllikon ZH","Ja zur Pensionskassenreform in Trüllikon. Die Gemeinde hat Vorlage mit 59,2 Prozent der Stimmen angenommen. Damit hat in Trüllikon seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 59,6 Prozent ein Nein in die Urne gelegt.","Trüllikon (ZH)","Les habitants de Trüllikon soutiennent à 59,2 pour cent la réforme de la LPP. Avec ce résultat, Trüllikon bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 59,6 pour cent des voix.","Trüllikon (ZH)","Gli elettori di Trüllikon si sono mostrati favorevoli alla riforma LPP, che ha ricevuto il 59,2 per cento di ""sì"". Con questo risultato, Trüllikon si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 59,6 per cento dei voti contrari.
"
"Truttikon ZH","75,7 Prozent der Stimmbürgerinnen und Stimmbürger von Truttikon haben sich für die Pensionskassenreform ausgesprochen. Damit hat in Truttikon seit der letzten Abstimmung über die berufliche Vorsorge im Jahr 2010 ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 66,2 Prozent ein Nein in die Urne gelegt.","Truttikon (ZH)","A Truttikon, les habitants disent oui à  75,7 pour cent à la réforme de la LPP. Avec ce résultat, Truttikon bascule dans le camp du oui. La commune avait rejeté une précédente réforme de la LPP en 2010 avec 66,2 pour cent des voix.","Truttikon (ZH)","Nel comune di Truttikon, i cittadini hanno accolto la riforma LPP con il 75,7 per cento di voti favorevoli. Con questo risultato, Truttikon si colloca nello schieramento dei fautori della LPP. Nel 2010 il comune aveva respinto la riforma LPP con il 66,2 per cento dei voti contrari.
"
